"attempt","ip_address","created_date","reason","uuid","model"
1037440,"172.64.236.61","2023-11-21 10:16:36.048919","Bad credentials","d8b17dce-cf31-4006-808a-96087fdc4204","iPhone 12"
1037439,"172.64.236.68","2023-11-21 09:32:29.752082","Bad credentials",NULL,NULL
1037438,"172.64.238.118","2023-11-21 08:10:18.726797","Bad credentials",NULL,NULL
1037437,"172.64.236.137","2023-11-21 07:47:46.42673","Bad credentials",NULL,NULL
1037436,"162.158.22.181","2023-11-21 07:09:46.583774","Bad credentials",NULL,NULL
1037434,"172.68.134.64","2023-11-20 22:28:15.047611","Bad credentials",NULL,NULL
1037435,"172.64.238.9","2023-11-20 22:28:13.568419","Bad credentials","6e34dc37-295e-4a49-8dd7-d813a9a03ea8","21091116UG"
1037433,"162.158.23.83","2023-11-20 22:24:00.466351","Bad credentials",NULL,NULL
1037432,"141.101.69.77","2023-11-20 22:14:02.079769","Bad credentials","de46f41b-53e5-408a-b6ae-c18dbe694349","RMX3710"
1037431,"172.64.236.136","2023-11-20 22:13:47.481422","Bad credentials",NULL,NULL
1037430,"162.158.23.4","2023-11-20 22:13:28.903715","Bad credentials",NULL,NULL
1037429,"172.64.238.118","2023-11-20 21:59:24.380555","Bad credentials",NULL,NULL
1037428,"141.101.69.22","2023-11-20 21:17:19.528429","Bad credentials",NULL,NULL
1037427,"162.158.23.84","2023-11-20 20:48:32.587316","Bad credentials",NULL,NULL
1037426,"172.64.238.118","2023-11-20 20:46:33.135319","Bad credentials","77552cd1-cc71-45f0-b530-6c4a60ce23ab","2201117TG"
1037425,"172.64.238.119","2023-11-20 20:46:24.365924","Bad credentials","77552cd1-cc71-45f0-b530-6c4a60ce23ab","2201117TG"
1037424,"172.64.238.119","2023-11-20 20:41:21.487122","Bad credentials","77552cd1-cc71-45f0-b530-6c4a60ce23ab","2201117TG"
1037423,"172.64.238.143","2023-11-20 20:36:29.172885","Bad credentials",NULL,NULL
1037422,"172.64.238.119","2023-11-20 20:30:33.436024","Bad credentials","ceb2742c-dedf-4faf-bfa1-c9e52cae7c1d","SM-A207F"
1037421,"172.64.236.69","2023-11-20 20:20:10.141967","Bad credentials","ceb2742c-dedf-4faf-bfa1-c9e52cae7c1d","SM-A207F"
1037420,"188.114.111.9","2023-11-20 20:05:02.960194","Bad credentials","a93207c8-fa5f-47ec-aa11-2a39a3a67d8c","M2103K19G"
1037418,"172.64.238.8","2023-11-20 19:35:25.409019","Bad credentials",NULL,NULL
1037417,"172.71.186.163","2023-11-20 18:56:22.943324","Bad credentials",NULL,NULL
1037416,"172.64.236.61","2023-11-20 18:35:49.505158","Bad credentials","758062af-0e2d-48e2-9959-aa2dd15fce40","SM-A505FN"
1037415,"172.64.236.61","2023-11-20 18:35:43.916656","Bad credentials","758062af-0e2d-48e2-9959-aa2dd15fce40","SM-A505FN"
1037414,"172.70.57.178","2023-11-20 18:27:08.888436","Bad credentials","758062af-0e2d-48e2-9959-aa2dd15fce40","SM-A505FN"
1037413,"172.70.57.178","2023-11-20 18:26:55.955846","Bad credentials","758062af-0e2d-48e2-9959-aa2dd15fce40","SM-A505FN"
1037412,"172.70.57.136","2023-11-20 18:26:06.495117","Bad credentials","758062af-0e2d-48e2-9959-aa2dd15fce40","SM-A505FN"
1037411,"172.70.57.136","2023-11-20 18:25:48.026215","Bad credentials","758062af-0e2d-48e2-9959-aa2dd15fce40","SM-A505FN"
1037410,"172.70.57.137","2023-11-20 18:25:43.869694","Bad credentials","758062af-0e2d-48e2-9959-aa2dd15fce40","SM-A505FN"
1037409,"172.70.57.136","2023-11-20 18:25:35.43471","Bad credentials","758062af-0e2d-48e2-9959-aa2dd15fce40","SM-A505FN"
1037408,"172.70.57.137","2023-11-20 18:25:29.725419","Bad credentials","758062af-0e2d-48e2-9959-aa2dd15fce40","SM-A505FN"
1037407,"172.70.57.137","2023-11-20 18:25:22.723823","Bad credentials","758062af-0e2d-48e2-9959-aa2dd15fce40","SM-A505FN"
1037406,"172.70.57.136","2023-11-20 18:24:20.694561","Bad credentials","758062af-0e2d-48e2-9959-aa2dd15fce40","SM-A505FN"
1037405,"172.70.57.137","2023-11-20 18:24:06.088903","Bad credentials","758062af-0e2d-48e2-9959-aa2dd15fce40","SM-A505FN"
1037404,"172.70.57.136","2023-11-20 18:24:00.60433","Bad credentials","758062af-0e2d-48e2-9959-aa2dd15fce40","SM-A505FN"
1037403,"172.70.57.136","2023-11-20 18:23:53.403535","Bad credentials","758062af-0e2d-48e2-9959-aa2dd15fce40","SM-A505FN"
1037402,"172.70.57.136","2023-11-20 18:23:36.027741","Bad credentials","758062af-0e2d-48e2-9959-aa2dd15fce40","SM-A505FN"
1037401,"172.68.134.46","2023-11-20 18:14:51.33029","Bad credentials",NULL,NULL
1027674,"172.64.238.118","2023-11-20 17:41:33.291344","Bad credentials",NULL,NULL
1027673,"162.158.22.180","2023-11-20 16:55:39.781898","Bad credentials",NULL,NULL
1027672,"172.68.134.64","2023-11-20 16:50:31.409188","Bad credentials",NULL,NULL
1027671,"172.70.57.190","2023-11-20 16:31:33.905961","Bad credentials",NULL,NULL
1027670,"172.70.42.209","2023-11-20 16:23:01.145155","Bad credentials","c331a6f1-05ad-4f30-9600-2c640ee78026","SM-A705FN"
1027669,"162.158.22.249","2023-11-20 16:06:09.291334","Bad credentials",NULL,NULL
1027668,"172.64.238.9","2023-11-20 16:03:43.187909","Bad credentials",NULL,NULL
1022376,"172.64.236.68","2023-11-20 15:59:03.301207","Bad credentials",NULL,NULL
1027667,"172.64.238.9","2023-11-20 15:50:48.11872","Bad credentials",NULL,NULL
1027666,"172.64.238.118","2023-11-20 15:14:09.988299","Bad credentials",NULL,NULL
1027665,"172.64.238.29","2023-11-20 15:00:55.810989","Bad credentials",NULL,NULL
1027664,"172.64.236.95","2023-11-20 14:38:04.108089","Bad credentials",NULL,NULL
1027663,"162.158.22.215","2023-11-20 14:14:51.001664","Bad credentials","87af462f-8dc3-460c-b68a-579ec030474a","SM-A515F"
1027662,"172.64.236.68","2023-11-20 14:12:50.494869","Bad credentials","60972920-7c83-4643-bb36-1f367fb537c0","iPhone 14 Pro"
1027661,"172.64.236.68","2023-11-20 14:12:37.01738","Bad credentials","60972920-7c83-4643-bb36-1f367fb537c0","iPhone 14 Pro"
1027660,"172.71.186.163","2023-11-20 13:24:55.501197","Bad credentials","4f68fc21-d7ab-4571-b6f7-f0d9dcfb8bc2","iPhone 14"
1027659,"172.64.238.28","2023-11-20 13:04:38.714935","Bad credentials",NULL,NULL
1027658,"172.70.57.179","2023-11-20 12:40:40.54774","Bad credentials","00263fd2-5a37-4d82-bb90-bbfd1d9163d3","SM-A127F"
1027657,"162.158.23.84","2023-11-20 12:30:19.488481","Bad credentials",NULL,NULL
1027656,"162.158.22.214","2023-11-20 12:06:58.740595","Bad credentials","41fd1385-a73c-447f-b4cc-22e1c01b7777","2201116TG"
1027655,"162.158.22.214","2023-11-20 12:06:45.344748","Bad credentials","41fd1385-a73c-447f-b4cc-22e1c01b7777","2201116TG"
1027653,"172.70.57.190","2023-11-20 11:42:56.442","Bad credentials",NULL,NULL
1022361,"172.64.238.9","2023-11-20 10:55:11.956882","ERR-401008",NULL,NULL
1027652,"172.71.186.32","2023-11-20 10:45:11.237561","Bad credentials",NULL,NULL
1027651,"172.70.57.243","2023-11-20 10:14:20.11016","Bad credentials",NULL,NULL
998450,"172.70.57.243","2023-11-20 10:14:15.634937","Bad credentials",NULL,NULL
998449,"172.68.134.108","2023-11-19 23:23:00.080775","Bad credentials",NULL,NULL
1037419,"172.64.238.28","2023-11-19 23:13:39.104409","Bad credentials",NULL,NULL
998448,"188.114.111.171","2023-11-19 22:42:23.813051","Bad credentials",NULL,NULL
998447,"172.71.186.24","2023-11-19 22:27:45.806947","Bad credentials","99fb1859-1378-4d6c-83b6-0004a26277ab","iPhone 11 Pro Max"
998446,"162.158.22.93","2023-11-19 22:02:00.694881","Bad credentials",NULL,NULL
998445,"172.71.186.162","2023-11-19 21:01:05.31894","Bad credentials","54b0a81b-5692-4d04-93ea-5d535067c244","iPhone 6s"
998444,"162.158.23.83","2023-11-19 21:00:42.35281","Bad credentials","54b0a81b-5692-4d04-93ea-5d535067c244","iPhone 6s"
998443,"162.158.23.84","2023-11-19 21:00:28.60434","Bad credentials","54b0a81b-5692-4d04-93ea-5d535067c244","iPhone 6s"
998149,"172.70.57.137","2023-11-19 20:26:18.39105","Bad credentials",NULL,NULL
998148,"172.70.57.137","2023-11-19 20:26:13.063273","Bad credentials",NULL,NULL
998147,"172.70.57.137","2023-11-19 20:26:08.973617","Bad credentials",NULL,NULL
998442,"162.158.23.4","2023-11-19 19:43:13.89193","Bad credentials",NULL,NULL
998441,"172.64.236.69","2023-11-19 19:24:43.061246","Bad credentials",NULL,NULL
998440,"162.158.22.92","2023-11-19 17:45:35.909013","Bad credentials",NULL,NULL
998438,"162.158.22.249","2023-11-19 15:56:57.059161","Bad credentials",NULL,NULL
998437,"162.158.22.214","2023-11-19 14:45:18.239767","Bad credentials",NULL,NULL
998436,"172.64.236.68","2023-11-19 14:39:58.150942","Bad credentials",NULL,NULL
998435,"172.64.236.68","2023-11-19 14:39:23.489832","Bad credentials",NULL,NULL
998434,"172.64.236.68","2023-11-19 14:39:14.435348","Bad credentials",NULL,NULL
998138,"172.64.236.137","2023-11-19 14:26:42.380367","ERR-401008",NULL,NULL
998433,"172.71.186.33","2023-11-19 10:07:52.457363","Bad credentials","aaa34c73-d1b7-4e45-9435-0cbeabc692e0","iPhone 13"
998432,"162.158.23.83","2023-11-19 07:51:12.898089","Bad credentials",NULL,NULL
998431,"162.158.23.83","2023-11-19 07:51:06.250977","Bad credentials",NULL,NULL
998430,"162.158.23.83","2023-11-19 07:50:55.345237","Bad credentials",NULL,NULL
998429,"172.68.134.46","2023-11-19 06:07:33.406046","Bad credentials",NULL,NULL
998428,"172.64.236.61","2023-11-18 22:45:28.229441","Bad credentials",NULL,NULL
998427,"162.158.23.55","2023-11-18 20:45:35.704397","Bad credentials",NULL,NULL
998426,"172.64.238.9","2023-11-18 20:03:20.566844","Bad credentials",NULL,NULL
998425,"162.158.23.83","2023-11-18 19:45:20.40455","Bad credentials",NULL,NULL
998424,"162.158.23.83","2023-11-18 19:45:14.477492","Bad credentials",NULL,NULL
998423,"162.158.23.83","2023-11-18 19:45:08.392277","Bad credentials",NULL,NULL
998422,"172.68.134.46","2023-11-18 19:41:06.521867","Bad credentials",NULL,NULL
998421,"172.64.236.60","2023-11-18 18:32:06.966691","Bad credentials","ff71d7e1-ba26-4382-9995-774e8bc61216","iPhone 12 Pro Max"
998420,"172.70.57.178","2023-11-18 16:03:05.659406","Bad credentials","ff71d7e1-ba26-4382-9995-774e8bc61216","iPhone 12 Pro Max"
998419,"172.64.238.118","2023-11-18 14:48:24.510303","Bad credentials","840107dc-65d0-4170-a51f-2dc077baaae6","iPhone 11"
998418,"162.158.23.56","2023-11-18 11:18:34.990985","Bad credentials",NULL,NULL
998417,"162.158.23.56","2023-11-18 11:18:00.819248","Bad credentials",NULL,NULL
998416,"172.64.236.137","2023-11-18 01:24:40.240714","Bad credentials",NULL,NULL
998415,"172.71.186.155","2023-11-18 01:08:25.84654","Bad credentials","6a2f82c6-c543-4654-ad36-25ce0f28ee84","iPhone 11 Pro"
998414,"162.158.23.84","2023-11-18 00:29:37.771715","Bad credentials","07797acf-e3cc-4dbb-87a7-4f531703ea81","iPhone 12 Pro Max"
998413,"162.158.23.55","2023-11-17 22:59:57.906729","Bad credentials",NULL,NULL
998116,"172.64.238.28","2023-11-17 22:24:29.072661","Bad credentials","31ec00ff-c91f-48f7-8301-a1c5c4af716b","Infinix X680"
998412,"172.64.238.9","2023-11-17 22:24:03.316105","Bad credentials",NULL,NULL
998411,"172.64.238.9","2023-11-17 22:23:56.780783","Bad credentials",NULL,NULL
998410,"172.64.236.94","2023-11-17 22:21:44.856768","Bad credentials","f40d8953-4dc9-41d9-8cc6-9bdc3ff5876c","M2101K7BG"
998409,"172.64.236.137","2023-11-17 22:11:44.08891","Bad credentials",NULL,NULL
998408,"172.64.236.95","2023-11-17 22:03:18.085139","Bad credentials","34d6668b-2c3a-4859-b7b8-d19cfeaea492","iPhone 14 Pro Max"
998407,"172.64.236.137","2023-11-17 21:50:06.625212","Bad credentials",NULL,NULL
998406,"172.64.236.95","2023-11-17 21:28:17.872997","Bad credentials","de46f41b-53e5-408a-b6ae-c18dbe694349","RMX3710"
998108,"172.70.57.243","2023-11-17 21:19:18.660325","Bad credentials","31ec00ff-c91f-48f7-8301-a1c5c4af716b","Infinix X680"
998107,"172.70.57.243","2023-11-17 21:16:58.453717","Bad credentials","31ec00ff-c91f-48f7-8301-a1c5c4af716b","Infinix X680"
998106,"172.70.57.242","2023-11-17 21:11:23.153144","Bad credentials","31ec00ff-c91f-48f7-8301-a1c5c4af716b","Infinix X680"
998405,"188.114.111.128","2023-11-17 20:34:41.323044","Bad credentials","dd124d9e-7fb8-48ab-8de8-44268c994fb6","BND-L21"
998403,"172.68.134.46","2023-11-17 20:16:12.63598","Bad credentials",NULL,NULL
998404,"162.158.22.181","2023-11-17 20:15:08.707657","Bad credentials","52f064a9-74d7-4628-b086-c3d85491b377","iPhone 7"
998401,"162.158.22.249","2023-11-17 18:36:51.145166","Bad credentials",NULL,NULL
998101,"172.70.57.191","2023-11-17 18:15:33.936373","Bad credentials",NULL,NULL
990810,"162.158.23.83","2023-11-17 16:40:28.617066","Bad credentials",NULL,NULL
990809,"172.64.238.143","2023-11-17 16:07:27.166275","Bad credentials",NULL,NULL
990808,"172.64.238.29","2023-11-17 15:29:41.841536","Bad credentials",NULL,NULL
990807,"172.64.238.29","2023-11-17 15:27:30.934323","Bad credentials",NULL,NULL
990806,"172.64.236.68","2023-11-17 15:23:03.527398","Bad credentials",NULL,NULL
990805,"172.64.236.68","2023-11-17 15:20:20.25604","Bad credentials","22214f96-d560-407e-8f12-05ee33ba34dd","ART-L29"
990804,"172.64.236.69","2023-11-17 14:26:53.049739","Bad credentials",NULL,NULL
990803,"172.71.186.163","2023-11-17 14:02:50.108115","Bad credentials",NULL,NULL
990802,"162.158.23.3","2023-11-17 13:10:40.052491","Bad credentials",NULL,NULL
998402,"172.64.236.137","2023-11-17 12:33:16.183493","Bad credentials",NULL,NULL
990801,"172.68.134.108","2023-11-17 12:27:35.836589","Bad credentials",NULL,NULL
984669,"172.68.134.64","2023-11-17 11:27:57.227218","Bad credentials","1200985c-d4cc-4ed5-a64f-1851c9ef5a58","M2004J19C"
984668,"172.68.134.65","2023-11-17 11:27:45.079733","Bad credentials","1200985c-d4cc-4ed5-a64f-1851c9ef5a58","M2004J19C"
984667,"172.68.134.65","2023-11-17 11:27:35.512347","Bad credentials","1200985c-d4cc-4ed5-a64f-1851c9ef5a58","M2004J19C"
984666,"172.68.134.64","2023-11-17 11:27:20.833558","Bad credentials","1200985c-d4cc-4ed5-a64f-1851c9ef5a58","M2004J19C"
984665,"172.64.236.137","2023-11-17 11:23:01.134263","Bad credentials",NULL,NULL
984664,"172.64.236.60","2023-11-17 10:09:17.653118","Bad credentials",NULL,NULL
984663,"172.64.238.9","2023-11-17 10:04:18.849261","Bad credentials",NULL,NULL
984662,"172.64.236.95","2023-11-17 09:56:25.754635","Bad credentials",NULL,NULL
984661,"162.158.22.93","2023-11-17 09:54:20.7197","Bad credentials",NULL,NULL
984660,"172.71.186.33","2023-11-17 08:39:37.815154","Bad credentials","2e900636-68ce-4815-96d8-746337efe7d2","iPhone XS Max"
984659,"162.158.22.181","2023-11-17 08:09:32.649522","Bad credentials",NULL,NULL
984658,"172.64.238.142","2023-11-17 01:59:18.554529","Bad credentials",NULL,NULL
984657,"172.64.238.142","2023-11-16 23:47:37.907306","Bad credentials","3d9514d6-80d5-4bd3-afa5-eeb11df6d57b","CLT-L29"
984654,"172.64.238.9","2023-11-16 23:21:37.92056","Bad credentials",NULL,NULL
984653,"172.71.186.155","2023-11-16 22:08:03.84307","Bad credentials",NULL,NULL
984656,"188.114.111.54","2023-11-16 21:54:11.527068","Bad credentials","3d9514d6-80d5-4bd3-afa5-eeb11df6d57b","CLT-L29"
984652,"172.68.134.148","2023-11-16 21:37:00.548335","Bad credentials","81957249-57ca-40f6-8ecb-10f17b2755cd","iPhone 14 Plus"
984651,"172.70.57.179","2023-11-16 21:36:53.414365","Bad credentials",NULL,NULL
984301,"172.64.236.95","2023-11-16 21:28:54.090719","ERR-401008",NULL,NULL
969727,"172.64.236.136","2023-11-16 20:45:34.793031","Bad credentials",NULL,NULL
969726,"172.64.236.136","2023-11-16 20:45:31.127448","Bad credentials",NULL,NULL
969715,"172.64.238.143","2023-11-16 20:12:02.311462","Bad credentials",NULL,NULL
969725,"188.114.111.55","2023-11-16 20:04:07.81799","Bad credentials","397d752b-669d-454e-8a45-e62c72ed3761","SM-A536E"
969724,"172.64.238.9","2023-11-16 20:00:35.107661","Bad credentials","397d752b-669d-454e-8a45-e62c72ed3761","SM-A536E"
969723,"172.64.238.9","2023-11-16 20:00:29.114747","Bad credentials","397d752b-669d-454e-8a45-e62c72ed3761","SM-A536E"
969722,"172.64.238.9","2023-11-16 20:00:10.217196","Bad credentials","397d752b-669d-454e-8a45-e62c72ed3761","SM-A536E"
969721,"172.64.238.9","2023-11-16 19:59:57.462394","Bad credentials","397d752b-669d-454e-8a45-e62c72ed3761","SM-A536E"
969720,"172.64.238.9","2023-11-16 19:59:31.951605","Bad credentials","397d752b-669d-454e-8a45-e62c72ed3761","SM-A536E"
969719,"172.64.238.9","2023-11-16 19:53:17.09276","Bad credentials","397d752b-669d-454e-8a45-e62c72ed3761","SM-A536E"
969718,"172.64.238.9","2023-11-16 19:53:06.216426","Bad credentials","397d752b-669d-454e-8a45-e62c72ed3761","SM-A536E"
969717,"172.64.238.9","2023-11-16 19:52:48.389256","Bad credentials","397d752b-669d-454e-8a45-e62c72ed3761","SM-A536E"
969716,"172.64.238.9","2023-11-16 19:51:12.750792","Bad credentials","397d752b-669d-454e-8a45-e62c72ed3761","SM-A536E"
969714,"172.71.134.218","2023-11-16 18:13:09.534732","Bad credentials",NULL,NULL
969713,"172.71.135.74","2023-11-16 18:03:37.026171","Bad credentials","55191dc1-3309-4b78-9d3e-9a2994423c2d","iPhone 11 Pro"
969712,"172.70.57.178","2023-11-16 17:41:21.837811","Bad credentials",NULL,NULL
969711,"172.71.135.111","2023-11-16 17:33:13.046892","Bad credentials",NULL,NULL
969710,"172.68.134.64","2023-11-16 17:05:29.400445","Bad credentials","ff2bd501-c378-476e-b994-ff83d111ee42","SM-A325F"
969709,"172.71.186.163","2023-11-16 16:42:42.077281","Bad credentials",NULL,NULL
969708,"188.114.111.171","2023-11-16 16:39:25.845088","Bad credentials",NULL,NULL
969707,"188.114.111.9","2023-11-16 16:31:20.598677","Bad credentials","9e7af631-b882-41d5-892f-b6c6e769511c","iPhone 11"
998439,"172.64.236.136","2023-11-16 16:08:47.96795","Bad credentials",NULL,NULL
969706,"172.64.238.119","2023-11-16 14:35:42.275971","Bad credentials",NULL,NULL
969705,"172.64.238.29","2023-11-16 14:10:28.909407","Bad credentials",NULL,NULL
969704,"172.64.238.142","2023-11-16 13:15:47.743665","Bad credentials",NULL,NULL
969703,"172.64.236.145","2023-11-16 13:09:42.530881","Bad credentials","89f7e104-3786-4520-9934-6d9704d9d16e","DUB-LX1"
969702,"172.64.236.145","2023-11-16 13:09:05.370698","Bad credentials",NULL,NULL
969701,"172.71.186.163","2023-11-16 12:26:32.159043","Bad credentials","9dea19ed-41cb-4108-b057-1e93bbf7fd24","iPhone 12 Pro"
962924,"162.158.22.227","2023-11-16 12:23:46.231717","Bad credentials",NULL,NULL
962923,"162.158.23.41","2023-11-16 12:23:16.609478","Bad credentials",NULL,NULL
962922,"172.64.236.40","2023-11-16 12:12:24.645038","Bad credentials","4d4a17e9-2f35-4f99-bc14-9041678fcb56","iPhone 12 Pro Max"
962917,"172.71.186.24","2023-11-16 12:01:01.811864","Bad credentials",NULL,NULL
962916,"172.64.238.29","2023-11-16 11:25:30.800785","Bad credentials",NULL,NULL
962915,"172.71.186.212","2023-11-16 11:07:55.207096","Bad credentials","4b01678e-c80f-4371-9f86-eeaeb7e2cc0a","SM-A315F"
962921,"172.64.238.142","2023-11-16 10:33:56.479946","Bad credentials","4d4a17e9-2f35-4f99-bc14-9041678fcb56","iPhone 12 Pro Max"
962920,"172.64.238.142","2023-11-16 10:33:50.412556","Bad credentials","4d4a17e9-2f35-4f99-bc14-9041678fcb56","iPhone 12 Pro Max"
962919,"172.64.238.142","2023-11-16 10:32:49.757038","Bad credentials","4d4a17e9-2f35-4f99-bc14-9041678fcb56","iPhone 12 Pro Max"
962903,"188.114.111.130","2023-11-16 09:20:01.240613","Bad credentials",NULL,NULL
1027654,"172.64.236.41","2023-11-16 09:20:01.101221","Bad credentials",NULL,NULL
962906,"172.64.236.69","2023-11-16 08:51:11.44707","Bad credentials","d9c79857-8b0e-4e2e-a8f4-5e5cc3f23c63","iPhone 11 Pro"
962905,"172.64.236.69","2023-11-16 08:51:01.56526","Bad credentials","d9c79857-8b0e-4e2e-a8f4-5e5cc3f23c63","iPhone 11 Pro"
962904,"172.64.236.68","2023-11-16 08:50:52.962089","Bad credentials","d9c79857-8b0e-4e2e-a8f4-5e5cc3f23c63","iPhone 11 Pro"
962914,"172.71.186.217","2023-11-16 07:34:04.402287","Bad credentials","4b01678e-c80f-4371-9f86-eeaeb7e2cc0a","SM-A315F"
962913,"172.71.186.217","2023-11-16 07:29:56.299042","Bad credentials","4b01678e-c80f-4371-9f86-eeaeb7e2cc0a","SM-A315F"
962912,"172.71.186.217","2023-11-16 07:29:47.692003","Bad credentials","4b01678e-c80f-4371-9f86-eeaeb7e2cc0a","SM-A315F"
